Mfg,Type,Model,HP,RPM,Torque,Ratio,Housing Height (in),Housing Width,HW,Calculated 1st stage,"Pin.
Diam
(in)",PLV Estimate
Amarillo,Right Angle,1311,208,1750,7491,8.5,23,23,23,3.165,5.52,2532
Amarillo,Right Angle,A27,80,1750,2881,5.77,18,20,18,5.77,2.66,1219
Amarillo,Right Angle,85,25,1750,900.3,5,13.25,11,11,5,1.83,841
Amarillo,Right Angle,85,30,1160,1629.9,3,13.25,11,11,3,2.75,836
Amarillo,Right Angle,135,54,1450,2347.1,6,18.125,16,16,2.69,4.34,1647
Amarillo,Right Angle,135,110,1750,3961.5,4,18.125,16,16,4,3.2,1467
Amarillo,Right Angle,1008,75,1450,3259.9,9.9,18.5,18.5,18.5,3.4,4.21,1599
Amarillo,Right Angle,1712,152,1160,8258.3,13.89,23.875,25.4,23.875,3.98,4.8,1458
Amarillo,Parallel,Quantum Q400,143,1200,7510.4,16.19,22.51,21,21,4.27,3.98,1252
Amarillo,Parallel,Quantum Q500,250,1750,9003.4,19.78,23.53,21,21,3.2,5,2293
SEW,Right Angle,K19,4.2,1700,157,4.5,3.3,3.2,3.2,3.71,0.68,303
SEW,Right Angle,K77,14.4,1700,535,25.62,10.3,8.2,8.2,5.157,1.33,593
SEW,Right Angle,K157,288,1700,10677,14.92,25,18.9,18.9,4.25,3.6,1603
SEW,Parallel,R57,9.4,1700,350,9.35,7.4,7.95,7.4,3.29,1.72,768
SEW,Parallel,R27,2.59,1700,96.1,11.86,6.7,5.6,5.6,3.69,1.19,531
SEW,Parallel,R47,2.68,1700,99.3,26.7,7.4,6.7,6.7,3.489,1.49,664
SEW,Parallel,R87,19.27,1700,714.3,17.08,11.6,11.6,11.6,4.383,2.15,960
SEW,Right Angle,K47,5.38,1700,199.3,16.86,6.7,6.4,6.4,4.356,1.19,531
SEW,Right Angle,K87,20.54,1700,761.4,31.39,12,10.2,10.2,3.65,2.2,981
SEW,Right Angle,K107,59.25,1700,2196.6,29,17.6,15,15,3.572,3.27,1457
SEW,Right Angle,K127,146.66,1700,5437,21.15,20.7,17.3,17.3,3.265,4.06,1807
Bonfiglioli,Right Angle,A 20 2_14.1,5.9,2800,132.8,14.1,6.3,5.1,5.1,4,1.02,751
Bonfiglioli,Right Angle,A 20 2_14.1,3.6,1400,162.1,14.1,6.3,5.1,5.1,4,1.02,375
Bonfiglioli,Right Angle,A41 2_5.2,36,2800,810.3,5.2,8.8,6.9,6.9,5.2,1.11,815
Bonfiglioli,Right Angle,A41 2_5.2,22,1400,990.4,5.2,8.8,6.9,6.9,5.2,1.11,408
Bonfiglioli,Right Angle,A55_4 208.1,1.3,900,91,208.1,11,8.3,8.3,4.548,1.49,351
Bonfiglioli,Right Angle,A55_4 208.1,0.76,500,95.8,208.1,11,8.3,8.3,4.548,1.49,195
Sumitumo,Right Angle,4A140  11?,25.5,1750,918.3,10.89,8.66,8.66,8.66,3,2.17,993
Sumitumo,Right Angle,4A140 60,4.79,1750,172.5,59.5,8.66,8.66,8.66,17,0.48,221
Sumitumo,Right Angle,4B165 21,21.7,1165,1173.9,21,10.24,10.24,10.24,6,1.46,447
Sumitumo,Right Angle,4B125 60,7.59,1465,326.5,59.5,10.24,10.24,10.24,17,0.57,218
Falk,Parallel,"TypeA,305",381,1750,13728,3.38,15.75,24,15.75,3.38,3.6,1649
Bonfiglioli,Parallel,C 12 2_4.3,3.5,2800,78.78,4.3,4.13,4.13,4.13,4.3,0.78,572
Bonfiglioli,Parallel,C 12 2_4.3,2.1,1400,94.536,4.3,4.13,4.13,4.13,4.3,0.78,286
Bonfiglioli,Parallel,C 36 3_56.2,3.3,2800,74.3,56.2,6.22,5.91,5.91,4.33,1.11,813
Bonfiglioli,Parallel,C 36 3_56.2,1.6,1400,72,56.2,6.22,5.91,5.91,4.33,1.11,406
Bonfiglioli,Parallel,C 80 2_13.8,85,2800,1913.2,13.8,16.61,12.6,12.6,3.965,2.54,1861
Bonfiglioli,Parallel,C 80 2_13.8,52.3,1400,2354.4,13.8,16.61,12.6,12.6,3.965,2.54,931
Bonfiglioli,Parallel,C 32 2_5.7,4,900,280.1,43.5,7.05,5.12,5.12,5.7,0.76,180
Bonfiglioli,Parallel,C 32 2_5.7,2.55,500,321.4,43.5,7.05,5.12,5.12,5.7,0.76,100
SEW,Parallel,RX77,14.9,1700,551.9,3.08,10.67,8.27,8.27,3.08,2.03,903
SEW,Parallel,RX107,35.6,1700,1320.4,4.65,18.07,14.57,14.57,4.65,2.58,1148
SEW,Parallel,R67,4.6,1700,169.6,28.13,8.35,8.46,8.35,3.541,1.84,819
SEW,Parallel,R167,35.3,1700,1307,121.81,26.57,26.57,26.57,5.457,4.12,1833
Falk ,Parallel,"A,345",834,1750,2503,2.76,20.12,30.62,20.12,,,
Falk ,Parallel,"A,345",668,1750,2005,3.74,20.12,30.62,20.12,,,
Falk ,Parallel,"A,345",370,1750,1110,5.6,20.12,30.62,20.12,,,
Falk ,Parallel,"A,325",574,1430,2108,2.03,17.75,27.13,17.75,,,
Falk ,Parallel,"A,325",391,1430,1436,3.38,17.75,27.13,17.75,,,
Falk ,Parallel,"A,425 DR",896,1750,2689,11.39,24,46.7,24,,,
Falk ,Parallel,"A,485 DR",1442,1430,5296,17.09,35,61.12,35,,,
Falk ,Parallel,"A,525 DR",2031,1170,9117,18.91,41,73.38,41,,,
Falk ,Parallel,"A,325 DR",228,1750,684,6.86,17.75,20.12,17.75,,,
Falk ,Parallel,"A,345 DR",282,1430,1036,8.4,20.12,30.62,20.12,,,
Falk ,Parallel,"A,445 TR",300,870,1811,28.36,27.7,53,27.7,,,
Falk ,Parallel,"A,465 TR",604,1170,2711,28.36,31,59.5,31,,,
Falk ,Parallel,"A,485 TR",1242,1430,4562,28.36,35,68.62,35,,,
Falk ,Parallel,"A,505 TR",1810,1750,5432,42.54,38,76.92,38,,,
